Income,Credit_Score,Debt,Zip_Code,Credit_Card_Eligibility
35795,417,41284,94131,0
20860,365,48050,85276,0
58158,474,31384,22559,0
31284,375,38252,75231,0
26265,413,37238,49044,0
36850,410,36026,31747,0
57194,548,40482,83509,0
41962,502,43801,90869,0
36023,446,46120,40129,0
21685,334,45580,10037,0
20769,325,38664,58503,0
22433,537,47342,38207,0
25311,313,30493,43241,0
57819,344,46465,10058,0
59188,515,36999,78172,0
37568,532,43833,24834,0
39769,492,32970,91113,0
48693,350,30011,37190,0
26396,513,45551,82832,0
47480,450,47145,31383,0
45658,574,33185,34660,0
38942,375,46409,12674,0
38431,519,31806,32820,0
22747,486,35664,95040,0
20189,588,44126,35666,0
39118,327,42894,53794,0
55773,479,35154,12076,0
21899,552,43767,74854,0
21267,425,45226,62342,0
51551,476,31525,47555,0
31394,336,30760,65208,0
23556,398,46978,42406,0
23890,397,43880,71572,0
50740,426,31055,50262,0
34502,467,40046,96661,0
41777,379,33083,33216,0
30627,593,45678,78117,0
28792,425,42108,91136,0
28433,449,39650,40284,0
31016,315,35957,30171,0
43897,327,35255,24333,0
22612,472,39411,40535,0
43483,345,46344,99023,0
37159,535,39691,85940,0
34541,513,48214,43700,0
55920,384,33395,93583,0
46531,581,31203,51516,0
21585,531,49194,25577,0
23943,384,49476,99834,0
43939,364,33044,25015,0
39457,433,37272,31236,0
21021,450,33514,76640,0
31653,414,39990,93190,0
33417,363,36192,55704,0
29692,457,40767,52369,0
26873,376,46528,13646,0
25675,445,37507,97007,0
20161,524,34857,35906,0
57065,402,42118,96643,0
46557,387,47761,57728,0
53763,467,33146,24878,0
52606,469,47177,19145,0
31534,434,35756,98578,0
49127,349,34414,28226,0
45851,433,47494,12802,0
21016,436,33937,34119,0
44253,544,33963,73560,0
44276,408,35897,67353,0
43247,586,38974,72126,0
44300,320,44377,81641,0
28529,389,47500,61712,0
37262,595,46056,62189,0
29268,411,31750,67784,0
41271,376,34027,78285,0
32185,476,41528,52949,0
41243,447,35745,44129,0
59099,400,39679,34512,0
28571,545,35938,89031,0
59976,416,42150,73554,0
